Date	Price	Open	High	Low	Volume	Chg%
Feb 04, 2021	56.854	56.962	57.081	56.779	81.73K	-0.15%
Feb 03, 2021	56.941	57.051	57.188	56.876	87.54K	-0.15%
Feb 02, 2021	57.024	56.898	57.100	56.698	99.21K	0.25%
Feb 01, 2021	56.882	57.061	57.308	56.854	113.58K	-0.24%
Jan 29, 2021	57.020	56.852	57.193	56.659	119.84K	0.32%
Jan 28, 2021	56.835	57.086	57.107	56.730	124.25K	-0.41%
Jan 27, 2021	57.069	57.454	57.494	56.983	109.58K	-0.62%
Jan 26, 2021	57.428	57.285	57.472	57.181	80.59K	0.29%
Jan 25, 2021	57.259	57.383	57.518	57.121	87.31K	-0.05%
Jan 22, 2021	57.289	57.743	57.766	57.277	85.02K	-0.77%
Jan 21, 2021	57.735	57.700	57.977	57.652	80.91K	0.04%
Jan 20, 2021	57.709	57.457	57.878	57.381	81.29K	0.45%
Jan 19, 2021	57.449	57.362	57.589	57.335	75.91K	0.15%
Jan 18, 2021	57.361	57.429	57.474	57.229	86.68K	-0.08%
Jan 15, 2021	57.408	57.844	57.844	57.315	89.67K	-0.70%
Jan 14, 2021	57.813	57.619	57.900	57.523	85.85K	0.34%
Jan 13, 2021	57.615	57.612	57.702	57.352	83.89K	0.03%
Jan 12, 2021	57.599	57.482	57.630	57.346	90.78K	0.27%
Jan 11, 2021	57.445	57.789	57.794	57.270	97.31K	-0.61%
Jan 08, 2021	57.799	57.860	57.949	57.530	105.12K	-0.09%
Jan 07, 2021	57.852	57.692	57.942	57.626	95.92K	0.31%
Jan 06, 2021	57.673	57.710	57.864	57.522	122.21K	-0.06%
Jan 05, 2021	57.707	57.196	57.811	57.127	105.46K	0.94%
Jan 04, 2021	57.171	57.466	57.684	57.110	99.58K	-0.46%
Jan 01, 2021	57.435	57.372	57.450	57.349	1.93K	0.16%
Dec 31, 2020	57.342	57.321	57.490	57.210	76.86K	0.07%
Dec 30, 2020	57.300	57.267	57.388	57.196	72.55K	0.10%
Dec 29, 2020	57.242	57.238	57.422	57.184	74.69K	0.01%
Dec 28, 2020	57.239	57.166	57.402	57.088	69.73K	0.16%
Dec 25, 2020	57.149	57.132	57.235	57.128	1.62K	0.07%
Dec 24, 2020	57.110	57.439	57.557	57.106	69.81K	-0.53%
Dec 23, 2020	57.413	57.216	57.496	57.180	81.16K	0.36%
Dec 22, 2020	57.209	57.591	57.650	57.096	84.06K	-0.63%
Dec 21, 2020	57.572	57.561	57.753	57.030	86.34K	0.06%
Dec 18, 2020	57.535	57.798	57.834	57.451	89.97K	-0.43%
Dec 17, 2020	57.785	57.766	57.972	57.711	70.77K	0.04%
Dec 16, 2020	57.763	57.906	57.947	57.574	73.49K	-0.26%
Dec 15, 2020	57.914	57.684	57.984	57.610	74.04K	0.40%
Dec 14, 2020	57.686	57.730	57.859	57.576	60.83K	-0.07%
Dec 11, 2020	57.728	57.871	57.937	57.630	79.73K	-0.26%
Dec 10, 2020	57.876	57.525	58.025	57.462	84.52K	0.63%
Dec 09, 2020	57.513	57.517	57.706	57.431	81.87K	0.01%
Dec 08, 2020	57.508	57.702	57.746	57.445	80.52K	-0.29%
Dec 07, 2020	57.676	57.719	57.778	57.599	84.91K	-0.02%
Dec 04, 2020	57.691	57.419	57.773	57.256	87.09K	0.49%
Dec 03, 2020	57.412	57.100	57.482	56.987	84.41K	0.55%
Dec 02, 2020	57.099	56.831	57.157	56.712	88.47K	0.52%
Dec 01, 2020	56.804	56.914	57.061	56.631	88.60K	-0.17%
Nov 30, 2020	56.898	56.921	57.257	56.860	79.93K	0.00%
Nov 27, 2020	56.898	56.732	57.093	56.665	78.68K	0.31%
Nov 26, 2020	56.720	56.735	56.846	56.668	79.00K	-0.02%
Nov 25, 2020	56.732	57.006	57.037	56.681	90.79K	-0.44%
Nov 24, 2020	56.983	56.778	57.019	56.608	98.21K	0.39%
Nov 23, 2020	56.762	56.619	56.810	56.594	75.78K	0.33%
Nov 20, 2020	56.572	56.694	56.871	56.584	83.41K	-0.18%
Nov 19, 2020	56.673	56.671	56.810	56.564	91.07K	0.06%
Nov 18, 2020	56.637	56.838	56.921	56.616	87.64K	-0.32%
Nov 17, 2020	56.821	56.883	57.061	56.763	87.46K	-0.09%
Nov 16, 2020	56.875	56.785	56.979	56.737	73.35K	0.19%
Nov 13, 2020	56.765	56.829	56.876	56.581	86.13K	-0.10%
Nov 12, 2020	56.821	57.015	57.162	56.771	94.22K	-0.28%
Nov 11, 2020	56.980	57.006	57.126	56.902	95.58K	-0.01%
Nov 10, 2020	56.985	56.911	57.236	56.813	118.86K	0.13%
Nov 09, 2020	56.911	56.669	57.165	56.600	122.13K	0.47%
Nov 06, 2020	56.646	56.652	56.857	56.427	121.75K	0.00%
Nov 05, 2020	56.645	56.597	56.793	56.397	126.09K	0.11%
Nov 04, 2020	56.582	56.835	56.996	56.210	149.26K	-0.40%
Nov 03, 2020	56.807	56.387	56.901	56.118	99.37K	0.80%
Nov 02, 2020	56.354	55.977	56.391	55.680	91.38K	0.69%
Oct 30, 2020	55.967	55.828	56.126	55.701	111.92K	0.29%
Oct 29, 2020	55.804	55.681	55.924	55.573	107.27K	0.22%
Oct 28, 2020	55.682	55.835	55.980	55.592	105.13K	-0.26%
Oct 27, 2020	55.829	56.000	56.148	55.828	86.75K	-0.28%
Oct 26, 2020	55.984	56.218	56.240	55.896	91.54K	-0.47%
Oct 23, 2020	56.251	56.087	56.303	55.894	79.97K	0.31%
Oct 22, 2020	56.079	55.982	56.157	55.891	92.97K	0.20%
Oct 21, 2020	55.966	55.958	56.266	55.934	91.27K	0.07%
Oct 20, 2020	55.924	55.610	56.083	55.522	87.19K	0.61%
